CBS SUBJECT ID,CIB SUBJECT ID,PERSONAL CODE,CLIENT ID,TITLE,CUSTOMER NAME,DATE OF BIRTH,PLACE OF BIRTH,SEX,MOTHER'S NAME,FATHER'S NAME,SPOUSE NAME,REG ADDRESS,CITY,REGION,ZIP CODE,COUNTRY,RES ADDRESS,CONTRACT ADDRESS,NATIONAL ID,SMART NID,TIN,eTIN,SECTOR CODE,SECURITY CODE,CONTRACT NO,CARD NO,CARD PRODUCT NAME,CREATE DATE,ACTIVE DATE,EXPIRY DATE,CARD STATE,CARD STATUS,ACCOUNT NO[BDT],CREDIT LIMIT [BDT],OUTSTANDING [BDT],SUSPENSE INTEREST [BDT],UNPAID EMI [BDT],TOTAL OUTSTANDING [BDT],MP DUE [BDT],OVERDUE AMT [BDT],LAST PAID AMT [BDT],LAST PAID DATE [BDT],ACCOUNT NO[USD],CREDIT LIMIT [USD],OUTSTANDING [USD],SUSPENSE INTEREST [USD],TOTAL OUTSTANDING [USD],MP DUE [USD],OVERDUE AMT [USD],LAST PAID AMT [USD],LAST PAID DATE [USD],CONTRACT STATE,DELIQ STATE,DELIQ CLASS,NO OF DEILQ DAYS,CLASSIFICATION DATE,BUS_ADDRESS_POSTAL_CODE,BUS_ADDRESS_DISTRICT,RECORD_TP,FI_CODE,BRANCH_CODE,FATHER_TITLE,MOTHER_TITLE,SPOUSE_TITLE,SECTOR_TP,COUNTRY_BIRTH_CODE,NATIONAL_ID_FLAG,ADD_ADDRESS_COUNTRY_CODE,ADDRESS_COUNTRY_CODE,STATUS,ACC_DATE,FI_SUBJECT_CODE,ROWID,ADDRESS_DISTRICT
101,201,PC001,CL001,Mr.,John Doe,5/1/1980,New York,M,Anne Doe,Robert Doe,Emily Doe,123 Main St,New York,NY,10001,USA,123 Main St,123 Main St,123456789,,TIN001,,SC01,SEC01,CON001,CARD001,Gold,1/1/2023,1/10/2023,1/1/2026,Active,Valid,AC001,50000,10000,500,1000,11000,500,200,2000,12/1/2023,ACUSD001,1000,500,50,550,25,10,200,12/1/2023,Active,,A,0,11/1/2023,10001,NY,TP,FI120,1101,,,,9,BD,1,BD,BD,A,2024-12-31,C0000000CL001,1,NY
102,202,PC002,CL002,Ms.,Jane Smith,7/12/1990,Los Angeles,F,Maria Smith,Michael Smith,,456 Oak St,Los Angeles,CA,90001,USA,456 Oak St,456 Oak St,987654321,,TIN002,,SC02,SEC02,CON002,CARD002,Silver,2/1/2023,2/10/2023,2/1/2026,Active,Valid,AC002,60000,20000,600,1200,21200,600,300,3000,12/1/2023,ACUSD002,2000,600,60,660,30,15,300,12/1/2023,Active,,B,5,11/6/2023,90001,CA,TP,FI120,1101,,,,9,BD,1,BD,BD,A,2024-12-31,C0000000CL002,2,CA
103,203,PC003,CL003,Dr.,Dr. Alice,3/30/1975,Chicago,F,Laura Alice,John Alice,David Alice,789 Pine St,Chicago,IL,60601,USA,789 Pine St,789 Pine St,123987456,,TIN003,,SC03,SEC03,CON003,CARD003,Platinum,3/1/2023,3/10/2023,3/1/2026,Inactive,Expired,AC003,70000,30000,700,1400,30700,700,400,4000,12/1/2023,ACUSD003,3000,700,70,770,35,20,400,12/1/2023,Closed,Minor,C,10,11/11/2023,60601,IL,TP,FI120,1101,,,,9,BD,1,BD,BD,A,2024-12-31,C0000000CL003,3,IL
104,204,PC004,CL004,Mrs.,Linda Brown,11/22/1985,Houston,F,Nancy Brown,Henry Brown,Tom Brown,101 Maple Ave,Houston,TX,77001,USA,101 Maple Ave,101 Maple Ave,789123654,,TIN004,,SC04,SEC04,CON004,CARD004,Bronze,4/1/2023,4/10/2023,4/1/2026,Active,Valid,AC004,80000,40000,800,1600,41600,800,500,5000,12/1/2023,ACUSD004,4000,800,80,880,40,25,500,12/1/2023,Active,Major,D,15,11/16/2023,77001,TX,TP,FI120,1101,,,,9,BD,1,BD,BD,A,2024-12-31,C0000000CL004,4,TX
105,205,PC005,CL005,Mr.,Chris Martin,2/10/1992,Phoenix,M,Rachel Martin,James Martin,,202 Elm St,Phoenix,AZ,85001,USA,202 Elm St,202 Elm St,456789123,,TIN005,,SC05,SEC05,CON005,CARD005,Diamond,5/1/2023,5/10/2023,5/1/2026,Inactive,Expired,AC005,90000,50000,900,1800,51800,900,600,6000,12/1/2023,ACUSD005,5000,900,90,990,45,30,600,12/1/2023,Closed,Critical,E,20,11/21/2023,85001,AZ,TP,FI120,1101,,,,9,BD,1,BD,BD,A,2024-12-31,C0000000CL005,5,AZ
105,205,PC005,CL006,Mr.,arman,2/10/1992,Phoenix,M,Rachel Martin,James Martin,,202 Elm St,Phoenix,AZ,85001,USA,202 Elm St,202 Elm St,456789123,,TIN005,,SC05,SEC05,CON005,CARD005,Diamond,5/1/2023,5/10/2023,5/1/2026,Inactive,Expired,AC005,90000,50000,900,1800,51800,900,600,6000,12/1/2023,ACUSD005,5000,900,90,990,45,30,600,12/1/2023,Closed,Critical,E,20,11/21/2023,85001,AZ,TP,FI120,1101,,,,9,BD,1,BD,BD,A,2024-12-31,C0000000CL006,6,AZ
105,205,PC005,CL007,Mr.,asif,2/10/1992,Phoenix,M,Rachel Martin,James Martin,,202 Elm St,Phoenix,AZ,85001,USA,202 Elm St,202 Elm St,456789123,,TIN005,,SC05,SEC05,CON005,CARD005,Diamond,5/1/2023,5/10/2023,5/1/2026,Inactive,Expired,AC005,90000,50000,900,1800,51800,900,600,6000,12/1/2023,ACUSD005,5000,900,90,990,45,30,600,12/1/2023,Closed,Critical,E,20,11/21/2023,85001,AZ,TP,FI120,1101,,,,9,BD,1,BD,BD,A,2024-12-31,C0000000CL007,7,AZ
105,205,PC005,CL006,Mr.,arman,2/10/1992,Phoenix,M,Rachel Martin,James Martin,,202 Elm St,Phoenix,AZ,85001,USA,202 Elm St,202 Elm St,456789123,,TIN005,,SC05,SEC05,CON005,CARD005,Diamond,5/1/2023,5/10/2023,5/1/2026,Inactive,Expired,AC005,90000,50000,900,1800,51800,900,600,6000,12/1/2023,ACUSD005,5000,900,90,990,45,30,600,12/1/2023,Closed,Critical,E,20,11/21/2023,85001,AZ,TP,FI120,1101,,,,9,BD,1,BD,BD,A,2024-12-31,C0000000CL006,8,AZ
105,205,PC005,CL007,Mr.,asif,2/10/1992,Phoenix,M,Rachel Martin,James Martin,,202 Elm St,Phoenix,AZ,85001,USA,202 Elm St,202 Elm St,456789123,,TIN005,,SC05,SEC05,CON005,CARD005,Diamond,5/1/2023,5/10/2023,5/1/2026,Inactive,Expired,AC005,90000,50000,900,1800,51800,900,600,6000,12/1/2023,ACUSD005,5000,900,90,990,45,30,600,12/1/2023,Closed,Critical,E,20,11/21/2023,85001,AZ,TP,FI120,1101,,,,9,BD,1,BD,BD,A,2024-12-31,C0000000CL007,9,AZ
105,205,PC005,CL009,Mr.,srot,2/10/1992,Phoenix,M,Rachel Martin,James Martin,,202 Elm St,Phoenix,AZ,85001,USA,202 Elm St,202 Elm St,456789123,,TIN005,,SC05,SEC05,CON005,CARD005,Diamond,5/1/2023,5/10/2023,5/1/2026,Inactive,Expired,AC005,90000,50000,900,1800,51800,900,600,6000,12/1/2023,ACUSD005,5000,900,90,990,45,30,600,12/1/2023,Closed,Critical,E,20,11/21/2023,85001,AZ,TP,FI120,1101,,,,9,BD,1,BD,BD,A,2024-12-31,C0000000CL009,10,AZ
